mean,sigma,scale
-0.046222321856000136,0.0003365642913928011,0.00010003849017620188
-0.04274316348866385,0.0003335141956648548,0.00010090809898600704
-0.03939570713100048,0.00028001564448300754,8.047986846955709e-05
-0.038531072003699963,0.0003282718721329003,9.831561354690302e-05
-0.035105923937248276,0.0003291891227243011,9.871265886652574e-05
-0.0316310382519133,0.0003341905189528849,9.889571788336466e-05
-0.025089260110448694,0.00034062021885144193,0.00010236556438453786
-0.02160900279979441,0.0003348946327948651,0.0001006864234759048
-0.018255988971997757,0.0002795494213049301,8.06287568703201e-05
-0.017371311203137764,0.00032840411050400495,9.826594683512797e-05
-0.01395249692931839,0.0003279973365977967,9.833068835048309e-05
-0.010483371677473399,0.0003387029932937552,0.00010134634739823214
-0.003938688026813879,0.0003379905400186361,0.00010056606491760374
-0.0004546174011328257,0.0003305175500400077,9.898424342002016e-05
0.002891837454399565,0.0002767347119234873,7.90748873159381e-05
0.003762842878613656,0.00032907485250878037,9.820961645774373e-05
0.007184139528800273,0.00033426931966298103,0.00010053936457285789
0.01065398329066463,0.0003396769353487122,0.00010240078599445661
0.0172094546637515,0.00033449281826067545,9.940919883406093e-05
0.020687246224714417,0.00033207561172856064,9.990276445913805e-05
0.024033705333156203,0.00027826372295720165,8.043779366394187e-05
0.0249209379179499,0.0003337563428573964,0.00010072776047104727
0.028351202099672332,0.00033468215913392044,0.00010120712591014674
0.031816122831360594,0.0003363778546645621,9.946562351066031e-05
0.03835054217879642,0.00033852998772258803,0.00010120524890282265
0.04183774342511285,0.0003337947457479815,0.00010066601966445919
0.04518577114754209,0.00028089788264586076,8.137790848999876e-05
0.046053616864685516,0.00032814542554097004,9.895174098888021e-05
0.04946921559791536,0.0003298426407215654,9.852438912028652e-05
