mean,sigma,scale
-0.04606958931092143,0.0004953502303248231,0.0001739677096431434
-0.0442435372131277,0.00032767056530796446,0.00019519633214907684
-0.04257922645762093,0.0004673093944046784,0.00016678644671866828
-0.040791169553998335,0.0003216433903523932,0.00019594449924184283
-0.03891689204288458,0.000555551111111111,0.00022817782338244654
-0.037041418639011635,0.00031036755540778116,0.00019149968483104518
-0.03526060739410445,0.00048209147889397106,0.00017029417402432114
-0.03357302364407281,0.0003141460879071178,0.00019307393858049415
-0.031743927315145894,0.0005368195204894234,0.00017676437732493336
-0.024906738997669493,0.0004848409030341641,0.00017798435287374393
-0.023096322694950266,0.00032896345204169486,0.00020253878387928968
-0.0214099468246291,0.0004721394575277617,0.00016911192631889415
-0.01963739066237975,0.00031894589028193645,0.0001948150752281193
-0.01777678200410616,0.000555551111111111,0.00022871583854772596
-0.01590401998533478,0.0003156767932753914,0.00019982349295119792
-0.014112582303744821,0.0004712698756762885,0.0001648961579620965
-0.012446477960927797,0.00032427047833422334,0.0001993103583319139
-0.010599739825555933,0.0005279460656263861,0.00017392189005820393
-0.003781142719285042,0.0005072850990441814,0.00017416736991205439
-0.001976201182383719,0.00031670711203255435,0.00019868627954807035
-0.0002977544092962964,0.0005037009039782606,0.00016739187661704658
-9.641749823735389e-05,7.768584719488945e-05,9.215392750458502e-06
0.0015021520054806958,0.0003159593071958557,0.00019300405640717205
0.0033726676493196347,0.000555551111111111,0.00023244924585120945
0.005249828507344713,0.00031006558375991155,0.00019279849958696595
0.007042851398485251,0.00048437787218796457,0.00016956728465435662
0.00872307076820685,0.0003071522838851624,0.00019373974835909657
0.010537580971916503,0.0005417054691810773,0.0001817493297600541
0.017356525364372388,0.0005159246023580873,0.00017220472285958634
0.019173738720556603,0.0003180525432934165,0.00019693652241864517
0.020854674610206098,0.00048296896494100575,0.00016898304555722536
0.022657009728436876,0.0003203312206990238,0.00019687555525864617
0.02452168650658967,0.000555551111111111,0.0002300081032708038
0.026402090681512225,0.0003093536824050823,0.00019216830664043922
0.02816197728526855,0.0004693583408845222,0.0001702267852428413
0.029846071548090537,0.00032723137200711986,0.00019690243385265993
0.031675226163297016,0.0005242316003483744,0.00018648898310758062
0.038529290632062736,0.00048682237594179585,0.00017682787727803383
0.04034588247127436,0.0003320419482148302,0.0002016562699739695
0.042032510909045306,0.0004583758161200007,0.00016682502877591254
0.04379847619004314,0.0003191864486291517,0.0001938371003508595
0.04567357615013919,0.000555551111111111,0.00023211249606723867
0.04754793312292266,0.0003100277920705203,0.00019502478287402884
0.04932456923581086,0.00047122759696358366,0.0001670928660364492
0.05102162118363024,0.0003384944088527543,0.00020271726166512017
