mean,sigma,scale
-0.046336626356081045,0.000510199999999995,0.0002550112586513364
-0.04457042243638552,0.0005040893362453432,0.00017697276958737892
-0.042769674223336156,0.0004504316231946774,0.00023062687883632129
-0.04107975448952968,0.0005101999999999685,0.00017881708007129192
-0.039463474971234994,0.00035995458760074796,0.00017275601985093734
-0.03849906626455457,0.00041070672552522507,0.00021350986473377232
-0.03676413201453238,0.0005049043179264709,0.00017738848854862384
-0.03509499521786118,0.0004479956181960594,0.00024337249437355208
-0.03329280539742475,0.0005003865879326727,0.00018191482962076882
-0.03154358167682209,0.0005101999999999997,0.00025027242634632137
-0.02517788744600535,0.0005101999999999973,0.0002590742892477315
-0.02340960761762878,0.0005041968188548911,0.00017758118267190094
-0.02162200980057652,0.0004527706294915902,0.00021730661228542113
-0.01997895141073226,0.0005101999999973965,0.000186068466472758
-0.018316233676878207,0.0003883580565617023,0.00016563015273083736
-0.017350956786269578,0.0004268470561806951,0.00019980031695188626
-0.015581790568647204,0.0005060500312316021,0.00018454386644342394
-0.013951287845695489,0.00044110171347803496,0.0002204906183134553
-0.012155549830636152,0.000504792167622776,0.00018509049733307433
-0.010427515672540634,0.0005101999999999993,0.0002448367030424946
-0.004021069176237194,0.0005101999999999942,0.00025079137713261246
-0.0022800898724392137,0.0005043734434239743,0.00018725631278888126
-0.00046324401324132587,0.00046318197121595023,0.00022992558902517964
0.001203223474671458,0.0005101999999999968,0.00017860555891877907
0.0028277640532866476,0.0003691659757501745,0.0001568619487286573
0.0037858961031455897,0.00043420232780519137,0.00020862518484366822
0.005538400842534662,0.0004873742135186401,0.00017323100653553175
0.007181592798660247,0.0004441492513883039,0.00022973046808766817
0.008982583048772377,0.000501511506148267,0.0001864520173046059
0.010733843201052163,0.0005101999999999996,0.0002626871308240985
0.01710673942904993,0.0005101999999999905,0.000249744995571707
0.018854202205676414,0.0005085825531776099,0.00016929666687178274
0.020686778507462245,0.00045828886483878224,0.0002235805164730233
0.02233508301919233,0.0005007261377059562,0.00017379886234950796
0.023984183196482343,0.00038044264621518703,0.00016899328822432016
0.024944899605323315,0.0004224818721431785,0.00019585968511408598
0.02666046386664701,0.0005101999999997425,0.00018110862040672456
0.02834789437825652,0.0004451228610142724,0.00022880676126032595
0.030145996055847526,0.0004984582199335099,0.0001814847380352048
0.03187354475647622,0.0005101999999999996,0.00025913179803867134
0.038255757590375805,0.0005101999999999981,0.0002576194356707524
0.04002798592650675,0.0004944312170430577,0.0001820393174449255
0.041808569208723126,0.0004400990747087205,0.00021666508989595494
0.043433160808343446,0.000510199999999986,0.00018725359216366944
0.04514040066612454,0.0003831299484416469,0.0001776050367114487
0.04609290606850986,0.0004110055630337703,0.00019993834826692632
0.047807046312475676,0.0005089597760395637,0.00017572470709943837
0.049484343911731954,0.0004693050199915039,0.00023716647899471848
0.05134374434733669,0.0005101999999999998,0.0001767442748926694
